ACD-0001|1077122-27.2025.4.01.3300|DM||1|2500.00||2500.00
ACD-0002|4016857-79.2025.8.26.0001|HS||1|1500.00||1500.00
ACD-0003|5689019-24.2025.8.09.0051|HS||1|500.00||500.00
ACD-0004|8002137-77.2025.8.05.0145|HS||1|5300.00||5300.00
ACD-0005|1002155-82.2025.8.26.0001|DM||1|3000.00||3000.00
ACD-0005|1002155-82.2025.8.26.0001|HS||1|400.00||400.00
ACD-0006|1004878-56.2025.8.26.0007|HS||1|1354.44||1354.44
ACD-0007|5036817-15.2025.4.03.6100|DM||1|4000.00||4000.00
ACD-0008|0899259-64.2025.8.14.0301|HS||1|2200.00||2200.00
ACD-0009|0002752-54.2025.8.16.0128|DM||1|3135.80||3135.80
ACD-0009|0002752-54.2025.8.16.0128|HS||1|1500.00||1500.00
ACD-0010|4009122-62.2025.8.26.0011|DM||1|1700.00||1700.00
ACD-0010|4009122-62.2025.8.26.0011|HS||1|800.00||800.00
ACD-0011|5036064-58.2025.4.03.6100|DM|15 DIAS DA HOMOLOGAÇÃO|1|5400.00||5400.00
ACD-0012|1030645-39.2024.8.26.0005|HS||1|1500.00||1500.00
ACD-0013|1002640-70.2025.8.26.0005|HS||1|1760.67||1760.67
ACD-0014|1051497-56.2025.8.26.0100|HS||1|1592.83||1592.83
ACD-0015|0011375-03.2025.5.15.0188|TRABALHISTA|ACORDO DE R$ 5.000,00 EM 2X|2|5000.00||5000.00
ACD-0016|0053115-53.2025.8.26.0100|DM+HS|(ACORDO PARCELADO EM 10X DE R$ 2.300,00)|10|11500.00|11500.00|23000.00
ACD-0017|1048970-34.2025.8.26.0100|DM|NARDON|1|1000.00||1000.00
ACD-0017|1048970-34.2025.8.26.0100|HS|NARDON|1|800.00||800.00
ACD-0018|4000197-61.2026.8.26.0005|DM||1|2438.00||2438.00
ACD-0018|4000197-61.2026.8.26.0005|HS||1|1219.00||1219.00
ACD-0019|1006153-83.2024.8.26.0004|HS|REMANESCENTE HS|1|400.00||400.00
ACD-0020|0003533-50.2026.8.26.0100|HS||1|2405.30||2405.30
ACD-0021|1046565-65.2024.8.26.0001|DM||1|4000.00||4000.00
ACD-0021|1046565-65.2024.8.26.0001|HS||1|1200.00||1200.00
ACD-0022|4000958-92.2026.8.26.0005|DM||1|2048.49||2048.49
ACD-0022|4000958-92.2026.8.26.0005|HS||1|1024.24||1024.24
ACD-0023|5733035-04.2025.8.09.0006|HS||1|3683.00||3683.00
ACD-0024|1008219-71.2024.8.26.0348|DM||1|10000.00||10000.00
ACD-0024|1008219-71.2024.8.26.0348|HS||1|2000.00||2000.00
ACD-0025|4004813-22.2025.8.26.0003|DM||1|7500.00||7500.00
ACD-0026|5781875-18.2025.8.09.0112|DM||1|2000.00||2000.00
ACD-0026|5781875-18.2025.8.09.0112|HS||1|1000.00||1000.00
ACD-0027|1006491-32.2017.8.26.0609|OUTROS|VENDA DE CRÉDITO - TELEXFREE - DETALHES NA TAREFA DE FINANCEIRO DO DIA 26/02 E ANEXOS|1|4650.00||4650.00
